name,url
Broken Access Control,https://owasp.org/Top10/2025/A01_2025-Broken_Access_Control/
Security Misconfiguration,https://owasp.org/Top10/2025/A02_2025-Security_Misconfiguration/
Software Supply Chain Failures,https://owasp.org/Top10/2025/A03_2025-Software_Supply_Chain_Failures/
Cryptographic Failures,https://owasp.org/Top10/2025/A04_2025-Cryptographic_Failures/
Injection,https://owasp.org/Top10/2025/A05_2025-Injection/
Insecure Design,https://owasp.org/Top10/2025/A06_2025-Insecure_Design/
Authentication Failures,https://owasp.org/Top10/2025/A07_2025-Authentication_Failures/
Software or Data Integrity Failures,https://owasp.org/Top10/2025/A08_2025-Software_or_Data_Integrity_Failures/
Security Logging and Alerting Failures,https://owasp.org/Top10/2025/A09_2025-Security_Logging_and_Alerting_Failures/
Mishandling of Exceptional Conditions,https://owasp.org/Top10/2025/A10_2025-Mishandling_of_Exceptional_Conditions/
